2026-06-11T08:57:18.722487265Z stderr F I0611 08:57:18.722090       1 options.go:263] external host was not specified, using 172.18.0.2
2026-06-11T08:57:20.122684764Z stderr F W0611 08:57:20.122485       1 logging.go:55] [core] [Channel #243 SubChannel #244]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:20.1328928Z stderr F W0611 08:57:20.132681       1 logging.go:55] [core] [Channel #247 SubChannel #248]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:20.142073581Z stderr F W0611 08:57:20.141898       1 logging.go:55] [core] [Channel #251 SubChannel #252]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:20.173835833Z stderr F I0611 08:57:20.173639       1 handler.go:304] Adding GroupVersion authentication.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.173866484Z stderr F W0611 08:57:20.173734       1 genericapiserver.go:787] Skipping API authentication.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.173875004Z stderr F W0611 08:57:20.173750       1 genericapiserver.go:787] Skipping API authentication.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.174800076Z stderr F I0611 08:57:20.174657       1 handler.go:304] Adding GroupVersion authorization.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.174813166Z stderr F W0611 08:57:20.174687       1 genericapiserver.go:787] Skipping API authorization.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.175984052Z stderr F I0611 08:57:20.175825       1 handler.go:304] Adding GroupVersion autoscaling v2 to ResourceManager
2026-06-11T08:57:20.177052036Z stderr F I0611 08:57:20.176905       1 handler.go:304] Adding GroupVersion autoscaling v1 to ResourceManager
2026-06-11T08:57:20.177064716Z stderr F W0611 08:57:20.176938       1 genericapiserver.go:787] Skipping API autoscaling/v2beta1 because it has no resources.
2026-06-11T08:57:20.177069626Z stderr F W0611 08:57:20.176949       1 genericapiserver.go:787] Skipping API autoscaling/v2beta2 because it has no resources.
2026-06-11T08:57:20.179356367Z stderr F I0611 08:57:20.179170       1 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
2026-06-11T08:57:20.179374177Z stderr F W0611 08:57:20.179207       1 genericapiserver.go:787] Skipping API batch/v1beta1 because it has no resources.
2026-06-11T08:57:20.180664754Z stderr F I0611 08:57:20.180473       1 handler.go:304] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.180680625Z stderr F W0611 08:57:20.180506       1 genericapiserver.go:787] Skipping API certificates.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.180685715Z stderr F W0611 08:57:20.180516       1 genericapiserver.go:787] Skipping API certificates.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.181598707Z stderr F I0611 08:57:20.181407       1 handler.go:304] Adding GroupVersion coordination.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.181613997Z stderr F W0611 08:57:20.181440       1 genericapiserver.go:787] Skipping API coordination.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.181618307Z stderr F W0611 08:57:20.181451       1 genericapiserver.go:787] Skipping API coordination.k8s.io/v1alpha2 because it has no resources.
2026-06-11T08:57:20.182413058Z stderr F I0611 08:57:20.182221       1 handler.go:304] Adding GroupVersion discovery.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.182423428Z stderr F W0611 08:57:20.182253       1 genericapiserver.go:787] Skipping API discovery.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.186906387Z stderr F I0611 08:57:20.185887       1 handler.go:304] Adding GroupVersion networking.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.186929127Z stderr F W0611 08:57:20.185925       1 genericapiserver.go:787] Skipping API networking.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.186969398Z stderr F I0611 08:57:20.186679       1 handler.go:304] Adding GroupVersion node.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.186989918Z stderr F W0611 08:57:20.186810       1 genericapiserver.go:787] Skipping API node.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.187050409Z stderr F W0611 08:57:20.186938       1 genericapiserver.go:787] Skipping API node.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.189614613Z stderr F I0611 08:57:20.189352       1 handler.go:304] Adding GroupVersion policy v1 to ResourceManager
2026-06-11T08:57:20.189633493Z stderr F W0611 08:57:20.189393       1 genericapiserver.go:787] Skipping API policy/v1beta1 because it has no resources.
2026-06-11T08:57:20.192607772Z stderr F I0611 08:57:20.192349       1 handler.go:304] Adding GroupVersion rbac.authorization.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.192630293Z stderr F W0611 08:57:20.192407       1 genericapiserver.go:787] Skipping API rbac.authorization.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.192635013Z stderr F W0611 08:57:20.192420       1 genericapiserver.go:787] Skipping API rbac.authorization.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.203431737Z stderr F I0611 08:57:20.193276       1 handler.go:304] Adding GroupVersion scheduling.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.203466157Z stderr F W0611 08:57:20.193450       1 genericapiserver.go:787] Skipping API scheduling.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.203472037Z stderr F W0611 08:57:20.193464       1 genericapiserver.go:787] Skipping API scheduling.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.203476177Z stderr F I0611 08:57:20.198196       1 handler.go:304] Adding GroupVersion storage.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.203480277Z stderr F W0611 08:57:20.198227       1 genericapiserver.go:787] Skipping API storage.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.203484587Z stderr F W0611 08:57:20.198238       1 genericapiserver.go:787] Skipping API storage.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.203488837Z stderr F I0611 08:57:20.200263       1 handler.go:304] Adding GroupVersion flowcontrol.apiserver.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.203493988Z stderr F W0611 08:57:20.200294       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta3 because it has no resources.
2026-06-11T08:57:20.203498128Z stderr F W0611 08:57:20.200308       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta2 because it has no resources.
2026-06-11T08:57:20.203502228Z stderr F W0611 08:57:20.200314       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.207836235Z stderr F I0611 08:57:20.207641       1 handler.go:304] Adding GroupVersion apps v1 to ResourceManager
2026-06-11T08:57:20.207889846Z stderr F W0611 08:57:20.207773       1 genericapiserver.go:787] Skipping API apps/v1beta2 because it has no resources.
2026-06-11T08:57:20.207897106Z stderr F W0611 08:57:20.207821       1 genericapiserver.go:787] Skipping API apps/v1beta1 because it has no resources.
2026-06-11T08:57:20.212003591Z stderr F I0611 08:57:20.211823       1 handler.go:304] Adding GroupVersion admissionregistration.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.212169473Z stderr F W0611 08:57:20.212058       1 genericapiserver.go:787] Skipping API admissionregistration.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.212187684Z stderr F W0611 08:57:20.212156       1 genericapiserver.go:787] Skipping API admissionregistration.k8s.io/v1alpha1 because it has no resources.
2026-06-11T08:57:20.213611532Z stderr F I0611 08:57:20.213437       1 handler.go:304] Adding GroupVersion events.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.213640093Z stderr F W0611 08:57:20.213478       1 genericapiserver.go:787] Skipping API events.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.216821645Z stderr F I0611 08:57:20.216630       1 handler.go:304] Adding GroupVersion resource.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.216852795Z stderr F W0611 08:57:20.216668       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1beta2 because it has no resources.
2026-06-11T08:57:20.216857665Z stderr F W0611 08:57:20.216678       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.216861915Z stderr F W0611 08:57:20.216684       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1alpha3 because it has no resources.
2026-06-11T08:57:20.221054991Z stderr F W0611 08:57:20.220838       1 logging.go:55] [core] [Channel #255 SubChannel #256]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:20.233903532Z stderr F I0611 08:57:20.233664       1 handler.go:304] Adding GroupVersion apiregistration.k8s.io v1 to ResourceManager
2026-06-11T08:57:20.233928842Z stderr F W0611 08:57:20.233701       1 genericapiserver.go:787] Skipping API apiregistration.k8s.io/v1beta1 because it has no resources.
2026-06-11T08:57:20.725956151Z stderr F I0611 08:57:20.725754       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
2026-06-11T08:57:20.725993211Z stderr F I0611 08:57:20.725768       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
2026-06-11T08:57:20.726332606Z stderr F I0611 08:57:20.726227       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/etc/kubernetes/pki/apiserver.crt::/etc/kubernetes/pki/apiserver.key"
2026-06-11T08:57:20.726965494Z stderr F I0611 08:57:20.726789       1 secure_serving.go:211] Serving securely on [::]:6443
2026-06-11T08:57:20.726984314Z stderr F I0611 08:57:20.726881       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-06-11T08:57:20.727003165Z stderr F I0611 08:57:20.726922       1 dynamic_serving_content.go:135] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
2026-06-11T08:57:20.727084846Z stderr F I0611 08:57:20.726967       1 controller.go:78] Starting OpenAPI AggregationController
2026-06-11T08:57:20.727093006Z stderr F I0611 08:57:20.727007       1 apf_controller.go:377] Starting API Priority and Fairness config controller
2026-06-11T08:57:20.727098326Z stderr F I0611 08:57:20.727053       1 aggregator.go:185] waiting for initial CRD sync...
2026-06-11T08:57:20.727102926Z stderr F I0611 08:57:20.727067       1 controller.go:80] Starting OpenAPI V3 AggregationController
2026-06-11T08:57:20.727167197Z stderr F I0611 08:57:20.727097       1 local_available_controller.go:156] Starting LocalAvailability controller
2026-06-11T08:57:20.727174817Z stderr F I0611 08:57:20.727125       1 cache.go:32] Waiting for caches to sync for LocalAvailability controller
2026-06-11T08:57:20.727180177Z stderr F I0611 08:57:20.727123       1 crdregistration_controller.go:114] Starting crd-autoregister controller
2026-06-11T08:57:20.727191147Z stderr F I0611 08:57:20.727098       1 apiservice_controller.go:100] Starting APIServiceRegistrationController
2026-06-11T08:57:20.727196157Z stderr F I0611 08:57:20.727146       1 shared_informer.go:349] "Waiting for caches to sync" controller="crd-autoregister"
2026-06-11T08:57:20.727200757Z stderr F I0611 08:57:20.727150       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
2026-06-11T08:57:20.727252838Z stderr F I0611 08:57:20.727165       1 gc_controller.go:85] "Starting apiserver lease garbage collector"
2026-06-11T08:57:20.727259828Z stderr F I0611 08:57:20.727113       1 remote_available_controller.go:425] Starting RemoteAvailability controller
2026-06-11T08:57:20.727264018Z stderr F I0611 08:57:20.727189       1 shared_informer.go:370] "Waiting for caches to sync"
2026-06-11T08:57:20.727283208Z stderr F I0611 08:57:20.727195       1 cache.go:32] Waiting for caches to sync for RemoteAvailability controller
2026-06-11T08:57:20.727288298Z stderr F I0611 08:57:20.727201       1 customresource_discovery_controller.go:294] Starting DiscoveryController
2026-06-11T08:57:20.727315649Z stderr F I0611 08:57:20.727233       1 controller.go:113] "Deleting old lease on startup" lease="kube-system/apiserver-c7uylvfxlbqccnk6myfkwetzze"
2026-06-11T08:57:20.727719404Z stderr F I0611 08:57:20.727327       1 controller.go:127] "Starting legacy_token_tracking_controller"
2026-06-11T08:57:20.727730544Z stderr F I0611 08:57:20.727350       1 shared_informer.go:370] "Waiting for caches to sync"
2026-06-11T08:57:20.727735504Z stderr F I0611 08:57:20.727410       1 cluster_authentication_trust_controller.go:459] Starting cluster_authentication_trust_controller controller
2026-06-11T08:57:20.727740024Z stderr F I0611 08:57:20.727428       1 shared_informer.go:370] "Waiting for caches to sync"
2026-06-11T08:57:20.727744804Z stderr F I0611 08:57:20.727461       1 system_namespaces_controller.go:66] Starting system namespaces controller
2026-06-11T08:57:20.727749945Z stderr F I0611 08:57:20.727470       1 controller.go:90] Starting OpenAPI V3 controller
2026-06-11T08:57:20.727754795Z stderr F I0611 08:57:20.727484       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
2026-06-11T08:57:20.727759235Z stderr F I0611 08:57:20.727500       1 naming_controller.go:305] Starting NamingConditionController
2026-06-11T08:57:20.727763535Z stderr F I0611 08:57:20.727512       1 crd_finalizer.go:273] Starting CRDFinalizer
2026-06-11T08:57:20.727767985Z stderr F I0611 08:57:20.727416       1 controller.go:142] Starting OpenAPI controller
2026-06-11T08:57:20.727772195Z stderr F I0611 08:57:20.727582       1 apiapproval_controller.go:196] Starting KubernetesAPIApprovalPolicyConformantConditionController
2026-06-11T08:57:20.727994778Z stderr F I0611 08:57:20.727470       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
2026-06-11T08:57:20.728260581Z stderr F I0611 08:57:20.727568       1 nonstructuralschema_controller.go:202] Starting NonStructuralSchemaConditionController
2026-06-11T08:57:20.729222874Z stderr F I0611 08:57:20.729047       1 default_servicecidr_controller.go:110] Starting kubernetes-service-cidr-controller
2026-06-11T08:57:20.729241974Z stderr F I0611 08:57:20.729078       1 shared_informer.go:349] "Waiting for caches to sync" controller="kubernetes-service-cidr-controller"
2026-06-11T08:57:20.729529128Z stderr F I0611 08:57:20.729432       1 repairip.go:210] Starting ipallocator-repair-controller
2026-06-11T08:57:20.729547799Z stderr F I0611 08:57:20.729509       1 shared_informer.go:349] "Waiting for caches to sync" controller="ipallocator-repair-controller"
2026-06-11T08:57:20.787858654Z stderr F I0611 08:57:20.787694       1 shared_informer.go:356] "Caches are synced" controller="node_authorizer"
2026-06-11T08:57:20.793970815Z stderr F I0611 08:57:20.793854       1 shared_informer.go:377] "Caches are synced"
2026-06-11T08:57:20.793984905Z stderr F I0611 08:57:20.793881       1 policy_source.go:248] refreshing policies
2026-06-11T08:57:20.821000915Z stderr F E0611 08:57:20.818119       1 controller.go:201] "Failed to ensure lease exists, will retry" err="namespaces \"kube-system\" not found" interval="200ms"
2026-06-11T08:57:20.82971638Z stderr F I0611 08:57:20.829392       1 cache.go:39] Caches are synced for LocalAvailability controller
2026-06-11T08:57:20.830298458Z stderr F I0611 08:57:20.830179       1 shared_informer.go:377] "Caches are synced"
2026-06-11T08:57:20.83045983Z stderr F I0611 08:57:20.830306       1 shared_informer.go:356] "Caches are synced" controller="ipallocator-repair-controller"
2026-06-11T08:57:20.830663362Z stderr F I0611 08:57:20.830538       1 shared_informer.go:356] "Caches are synced" controller="kubernetes-service-cidr-controller"
2026-06-11T08:57:20.830791864Z stderr F I0611 08:57:20.830578       1 default_servicecidr_controller.go:169] Creating default ServiceCIDR with CIDRs: [10.96.0.0/16]
2026-06-11T08:57:20.831294081Z stderr F I0611 08:57:20.831184       1 cache.go:39] Caches are synced for RemoteAvailability controller
2026-06-11T08:57:20.831304801Z stderr F I0611 08:57:20.831241       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
2026-06-11T08:57:20.831347061Z stderr F I0611 08:57:20.831291       1 handler_discovery.go:451] Starting ResourceDiscoveryManager
2026-06-11T08:57:20.831654276Z stderr F I0611 08:57:20.831560       1 apf_controller.go:382] Running API Priority and Fairness config worker
2026-06-11T08:57:20.8319961Z stderr F I0611 08:57:20.831562       1 shared_informer.go:377] "Caches are synced"
2026-06-11T08:57:20.832163892Z stderr F I0611 08:57:20.831630       1 shared_informer.go:377] "Caches are synced"
2026-06-11T08:57:20.832286114Z stderr F I0611 08:57:20.831707       1 shared_informer.go:356] "Caches are synced" controller="crd-autoregister"
2026-06-11T08:57:20.832295484Z stderr F I0611 08:57:20.831886       1 apf_controller.go:385] Running API Priority and Fairness periodic rebalancing process
2026-06-11T08:57:20.832300334Z stderr F I0611 08:57:20.832195       1 aggregator.go:187] initial CRD sync complete...
2026-06-11T08:57:20.832305554Z stderr F I0611 08:57:20.832211       1 autoregister_controller.go:144] Starting autoregister controller
2026-06-11T08:57:20.832309594Z stderr F I0611 08:57:20.832221       1 cache.go:32] Waiting for caches to sync for autoregister controller
2026-06-11T08:57:20.832313644Z stderr F I0611 08:57:20.832230       1 cache.go:39] Caches are synced for autoregister controller
2026-06-11T08:57:20.834823208Z stderr F I0611 08:57:20.834629       1 controller.go:667] quota admission added evaluator for: namespaces
2026-06-11T08:57:20.836886795Z stderr F I0611 08:57:20.836634       1 cidrallocator.go:302] created ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-06-11T08:57:20.836903535Z stderr F I0611 08:57:20.836717       1 default_servicecidr_controller.go:231] Setting default ServiceCIDR condition Ready to True
2026-06-11T08:57:20.843460733Z stderr F I0611 08:57:20.843200       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-06-11T08:57:21.022428721Z stderr F I0611 08:57:21.022241       1 controller.go:667] quota admission added evaluator for: leases.coordination.k8s.io
2026-06-11T08:57:21.733515871Z stderr F I0611 08:57:21.733262       1 storage_scheduling.go:123] created PriorityClass system-node-critical with value 2000001000
2026-06-11T08:57:21.737752007Z stderr F I0611 08:57:21.737582       1 storage_scheduling.go:123] created PriorityClass system-cluster-critical with value 2000000000
2026-06-11T08:57:21.737765728Z stderr F I0611 08:57:21.737612       1 storage_scheduling.go:139] all system priority classes are created successfully or already exist.
2026-06-11T08:57:22.280841086Z stderr F I0611 08:57:22.280656       1 controller.go:667] quota admission added evaluator for: roles.rbac.authorization.k8s.io
2026-06-11T08:57:22.327238012Z stderr F I0611 08:57:22.327062       1 controller.go:667] quota admission added evaluator for: rolebindings.rbac.authorization.k8s.io
2026-06-11T08:57:22.442100189Z stderr F I0611 08:57:22.441875       1 alloc.go:329] "allocated clusterIPs" service="default/kubernetes" clusterIPs={"IPv4":"10.96.0.1"}
2026-06-11T08:57:22.449291264Z stderr F W0611 08:57:22.449116       1 lease.go:265] Resetting endpoints for master service "kubernetes" to [172.18.0.2]
2026-06-11T08:57:22.45046458Z stderr F I0611 08:57:22.450345       1 controller.go:667] quota admission added evaluator for: endpoints
2026-06-11T08:57:22.455628558Z stderr F I0611 08:57:22.455491       1 controller.go:667] quota admission added evaluator for: endpointslices.discovery.k8s.io
2026-06-11T08:57:23.509430394Z stderr F I0611 08:57:23.509228       1 controller.go:667] quota admission added evaluator for: serviceaccounts
2026-06-11T08:57:23.96285915Z stderr F I0611 08:57:23.962679       1 controller.go:667] quota admission added evaluator for: deployments.apps
2026-06-11T08:57:23.972595729Z stderr F I0611 08:57:23.972395       1 alloc.go:329] "allocated clusterIPs" service="kube-system/kube-dns" clusterIPs={"IPv4":"10.96.0.10"}
2026-06-11T08:57:23.981493567Z stderr F I0611 08:57:23.981333       1 controller.go:667] quota admission added evaluator for: daemonsets.apps
2026-06-11T08:57:29.207299698Z stderr F I0611 08:57:29.207130       1 controller.go:667] quota admission added evaluator for: replicasets.apps
2026-06-11T08:57:29.408873078Z stderr F I0611 08:57:29.408704       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-06-11T08:57:29.413146105Z stderr F I0611 08:57:29.412965       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-06-11T08:57:29.557444062Z stderr F I0611 08:57:29.557271       1 controller.go:667] quota admission added evaluator for: controllerrevisions.apps
2026-06-11T08:58:18.903195845Z stderr F I0611 08:58:18.902980       1 handler.go:304] Adding GroupVersion workload.codeflare.dev v1beta2 to ResourceManager
2026-06-11T08:58:18.979451367Z stderr F I0611 08:58:18.979260       1 alloc.go:329] "allocated clusterIPs" service="appwrapper-system/appwrapper-controller-manager-metrics-service" clusterIPs={"IPv4":"10.96.224.171"}
2026-06-11T08:58:18.991928993Z stderr F I0611 08:58:18.991708       1 alloc.go:329] "allocated clusterIPs" service="appwrapper-system/appwrapper-webhook-service" clusterIPs={"IPv4":"10.96.12.248"}
2026-06-11T08:58:20.955081525Z stderr F W0611 08:58:20.954101       1 logging.go:55] [core] [Channel #262 SubChannel #263]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:23.970714338Z stderr F I0611 08:58:23.970544       1 alloc.go:329] "allocated clusterIPs" service="jobset-system/jobset-controller-manager-metrics-service" clusterIPs={"IPv4":"10.96.90.15"}
2026-06-11T08:58:23.981096356Z stderr F I0611 08:58:23.980891       1 alloc.go:329] "allocated clusterIPs" service="jobset-system/jobset-webhook-service" clusterIPs={"IPv4":"10.96.177.4"}
2026-06-11T08:58:24.296703236Z stderr F I0611 08:58:24.296490       1 handler.go:304] Adding GroupVersion jobset.x-k8s.io v1alpha2 to ResourceManager
2026-06-11T08:58:27.40507404Z stderr F W0611 08:58:27.404685       1 logging.go:55] [core] [Channel #266 SubChannel #267]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:58:29.06978127Z stderr F I0611 08:58:29.069593       1 alloc.go:329] "allocated clusterIPs" service="lws-system/lws-controller-manager-metrics-service" clusterIPs={"IPv4":"10.96.150.236"}
2026-06-11T08:58:29.080799356Z stderr F I0611 08:58:29.080371       1 alloc.go:329] "allocated clusterIPs" service="lws-system/lws-webhook-service" clusterIPs={"IPv4":"10.96.146.213"}
2026-06-11T08:58:29.667989581Z stderr F I0611 08:58:29.667472       1 handler.go:304] Adding GroupVersion leaderworkerset.x-k8s.io v1 to ResourceManager
2026-06-11T08:58:31.447839709Z stderr F I0611 08:58:31.447465       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.447871159Z stderr F I0611 08:58:31.447528       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.531620541Z stderr F I0611 08:58:31.531395       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.531653022Z stderr F I0611 08:58:31.531463       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.544018105Z stderr F I0611 08:58:31.543837       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.544040895Z stderr F I0611 08:58:31.543911       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.557365353Z stderr F I0611 08:58:31.557148       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.557398324Z stderr F I0611 08:58:31.557221       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.58348805Z stderr F I0611 08:58:31.575095       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.583652193Z stderr F I0611 08:58:31.575235       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.591453016Z stderr F I0611 08:58:31.591216       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.591475606Z stderr F I0611 08:58:31.591358       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.604869004Z stderr F I0611 08:58:31.604594       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.604901514Z stderr F I0611 08:58:31.604685       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.622509748Z stderr F I0611 08:58:31.622194       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.622532029Z stderr F I0611 08:58:31.622286       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.633154469Z stderr F I0611 08:58:31.632947       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.633187429Z stderr F I0611 08:58:31.633040       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:31.639405582Z stderr F I0611 08:58:31.639179       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:31.639439363Z stderr F I0611 08:58:31.639282       1 handler.go:304] Adding GroupVersion kueue.x-k8s.io v1beta2 to ResourceManager
2026-06-11T08:58:32.508759133Z stderr F I0611 08:58:32.508565       1 alloc.go:329] "allocated clusterIPs" service="kueue-system/kueue-controller-manager-metrics-service" clusterIPs={"IPv4":"10.96.120.162"}
2026-06-11T08:58:32.52284418Z stderr F I0611 08:58:32.520479       1 alloc.go:329] "allocated clusterIPs" service="kueue-system/kueue-visibility-server" clusterIPs={"IPv4":"10.96.63.221"}
2026-06-11T08:58:32.551625882Z stderr F I0611 08:58:32.551391       1 alloc.go:329] "allocated clusterIPs" service="kueue-system/kueue-webhook-service" clusterIPs={"IPv4":"10.96.58.141"}
2026-06-11T08:58:32.574725299Z stderr F I0611 08:58:32.574484       1 handler.go:304] Adding GroupVersion visibility.kueue.x-k8s.io v1beta1 to ResourceManager
2026-06-11T08:58:32.578674101Z stderr F W0611 08:58:32.578470       1 handler_proxy.go:99] no RequestInfo found in the context
2026-06-11T08:58:32.578693331Z stderr F E0611 08:58:32.578545       1 controller.go:146] "Unhandled Error" err=<
